,name,gender,关注,粉丝,time,rating,text,useful
1,_CFT01****3482347,female,0,0,2016/10/11,width:100%;,非常棒，如果去山西看大院或者民居，绝对不容错过，首先有规模，12万平方米，乔家一个院，常家两条街，可见规模之大足够对得起门票钱了，其次是景色，对，没错就是景色，既然是庄园，怎么没有园林呢，常家的后花园也是风景很美，非常适合带老人孩子玩，不会累，再次就是低调，常家庄园估计很多人都没听过，也正为如此，在十一各大景区拥堵不堪时候，常家庄园依然可以不用去看人头或看屁股,有用 （45）
2,ROMAO,female,0,0,2015/12/15,width:100%;,晋中最好玩最值得一去的地方啦。交通便利，市内公车一小时直达。庄园很大很美丽，多部影视剧的取景地。亭台水榭，鸟语花香。人不熙攘，拍照摄影和旅游度假的绝佳去处！,有用 （26）
3,keaia,male,14,103,2014/6/1,width:100%;,"乔家大院、王家大院、常家庄园相比，感觉常家庄园最好，王家大院次之，乔家大院相比之下根本不值一提。
常家庄园够大，像是一座城，有城墙、城门，居然还有护城河。进门就是一条主要干道，右边是一个个院落，左边还没开发，就是几个商铺。别小看几个院落，个个布局规整，标准的四合院建筑，最小都是三进的院子，有的大院子是几个小院相互连接。与王家大院等不同的是，这里更大，更豪华。除了居住的院子，旁边还有书院、花园。曲径通幽。庄园后面居然还有个湖，亭台楼阁，绿地、园林一应具全。园林尽头有个雄伟的观稼楼，登高望远，可以俯瞰园林景色，还可以看庄园外围的庄稼地长势如何。真是舒服啊！
感觉如果颐和园是皇家园林的代表，在等级森严的封建社会，常家庄园就是民间的典范了。
庄园里书院、官邸、老爷的院落各有特色。老大老二、结婚的、未结婚的各有不同。里面还有书法大家的石刻，甚至还有女皇武则天的真迹。厉害呀！
里面的藏书楼二楼有七间房子，在九五之尊的封建社会，这也是违规的建筑，但是本着读书最大的原则，也得到了许可。
庄园里面雕梁画柱自不必说，还有很多官府大员提的匾额。春夏秋冬不同季节的雕花影壁，砖雕，各式各样的大门、门墩，等级高低区别有序。
如果不随旅行团，自己随便转转，至少四个小时。可以尽情的在庄园里拍照。不用担心人多抢镜头。",有用 （14）
4,西风品味,female,0,9,2017/2/7,width:40%;,这个景点不适合冬天去游览的，我们2月初从太原站对面坐901到榆次老城再转12才到常家庄园的，用了一个多小时才到，冬天的榆次老城周边空气差得不得了，雾霾严重，我们去时风很大，景点内参观的人寥寥无几，特显荒凉，门票也不便宜，我们还在售票处旁10元租了个电子讲解器匆匆进院，景区实际复完开放可参观的部分不多，傻瓜式的讲解器没什么介绍，每个开放景点也缺乏文字介绍，整个庄园冷风劲吹不容你多看一眼，一圈下来感觉就是一个影视基地，无实质好看和吸引的地方，特别是我们看过了王家大院后更觉无味，可能春夏季来树木葱葱相对会好些，但总的与我们在山西游过的景区对比，无性价比可言。,有用 （13）
5,_WeCh****38190,male,0,0,2016/9/12,width:100%;,很不错，值得一去，儒家思想，比乔家大院有思想，后花园也不错，景色宜人，流连忘返啊，是许多电影电视剧的取景地，许多地方都可以去！可以进去观赏！,有用 （10）
6,ZY张张,female,2,0,2017/2/17,width:100%;,常家庄园中国儒商第一家，园林建筑于一体，真的是非常大气，晋商大院里面最喜欢的就是常家庄园，文化底蕴深刻，一年四季不同景，给人印象极好，去过多次都不觉得腻～推荐你们来…地址在山西省晋中市榆次区东阳镇车辋常家庄园！,有用 （9）
7,_WeCh****50188,male,0,0,2016/10/2,width:100%;,晋商创业精神值得学习，后花园杏园很大，儒商，值得一去。导游小姑娘讲解的也不错，门口常家家宴价位也不是很贵，门口的面食工艺品很壮观。,有用 （8）
8,寒江孤影1965,male,7,63,2015/10/4,width:80%;,常家庄园位于榆次，要是从太原出发的话，可以先坐公交车901路到达榆次老城终点站，3元，一个半小时左右，在终点站坐12路公交车终点站到达常家庄园，不到一个小时。门票60元，可以在网上预订能便宜一点。常家庄园外观就是典型的古典汉族民居风格，进入庄园，建筑古朴壮观，分为南北，东西两条大街，面积超级大。院落里有很多木雕，砖雕的艺术品。最值得去的地方，还是常家庄园后花园，在楼阁上面可以观看到整个庄园的布局，四方村落到楼阁距离一样，形成了车的样子。楼阁前面有小桥，绿地，树木郁郁葱葱，可以与朋友坐在草坪上休息聊天吃点零食，欣赏着湖边的美景。这里面也有卫生间，环境一般，吃的话还是在榆次老城附近吃完再来游览比较好。整体景观非常值得观赏。,有用 （8）
9,M24****7846,female,0,0,2018/2/26,width:100%;,正月十一去的，人少，很清静。细细的品味常家的家庭教育，体味晋商的深厚文化底蕴。建筑的砖雕、木雕、彩绘很值得观赏，图案的寓意赋予美好的向往。,有用 （7）
10,_WeCh****80463,male,0,0,2017/3/20,width:80%;,今天去的，感觉建筑大气磅礴，很壮观，值得大家去看一看，可想当时主人的财富！可以想而知当时的晋商，在社会上的地位！两旁的街道保存的也很完整！,有用 （7）
11,e33****50,female,0,0,2018/2/19,width:100%;,很好，值得一去。想不到这么大，比刚去过的乔家大院还要大很多啊，除了古建筑，还有这么大的园林，可惜是冬季，如果是夏季应该更好。,有用 （6）
12,1361130****,male,19,352,2018/1/13,width:100%;,常家庄园目前开放为原常家庄园遗存的半条街，共计12余万平方米，不及原面积的1/4。其中宅院4公顷、园林8公顷、附属房屋3公顷，庄墙12公里，形成一山、一阁、两轩、四园、五院、六水、九堂、八贴、十三亭、二十五廊、二十七宅院&quot;的格局。,有用 （6）
13,海葵花,female,0,0,2017/10/7,width:100%;,开车很容易就能找到，面积很大，后院的园林里亭台楼阁，小桥流水，很有江南园林的特色；而前面的院落，则是典型的北方建筑，深宅大院，庄严肃穆。最吸引我的是照壁和跨院门上的雕画，各有寓意，形态万千，诗书气味浓厚，值得一看！,有用 （6）
14,M44****335,female,0,0,2016/8/31,width:100%;,常家庄园是晋商典型的庄园，具有悠久的历史和灿烂的文化。建筑宏伟，景色美丽，集建筑美学与自然风景一体。是山西旅游的首选景点。,有用 （6）
15,M81****86,female,0,0,2015/10/30,width:100%;,常家庄园不愧是晋商大院第一家，气势恢弘叹为观止！精美的砖雕木雕令人赞叹，私家花园绿草茵茵古木参天，值得一游！,有用 （6）
16,158****1737,female,0,0,2014/8/1,width:100%;,"跟南方园林相比，常家的后花园可能朴素点，可是园子很大，在北方有这样景观非常难得，亭台楼阁样样齐全.文革前比现在大得多,和故宫的御花园大得多,缺水的北方居然有个大水塘,占地极大,让人眼前一亮,清代的土豪啊.现在要盖,得花多少钱?
       养和堂贵和堂什么的一字排成一条街，很气派。街上吃饭的地方很是实惠.比较遗憾的是绝大部分内室的家具摆设都烟消云散看不到了，空空的，
          常家庄园开园不满六年，已经有近三十部电视连续剧陆续来园拍摄。其中《龙票》、《白银谷》、《金锁记》、《杨三姐告状》、《亮剑》、《乔家大院》、《大槐树》、《狼毒花》、《白银帝国》、《铁梨花》等大型影视剧组更是特意选择常家庄园作为主外景地进行实景拍摄.
       在火车站乘坐901公交车到终点榆次老城转乘12路公交车直达常家庄园。全程每人需6元,不找零.
        常家庄园，中国最大的北派私家园林称为小故宫，占了两条街的住宅建筑，串联四个村落，这是土豪中的战斗鸡啊!宅子的修建非常讲究，亭台楼阁院轩堂廊帖，布局占地都很规矩，时至今日还能感受到那种严肃沉默中渗透的挥金如土的气息。我特别喜欢常家庄园的木雕窗户，设计精美、关键没有一个重复的。",有用 （6）
17,老二连,male,0,13,2017/4/28,width:80%;,"常家庄园，国家AAAA级旅游景区，是被称为&quot;儒商世家&quot;的榆次东阳镇车辋村常氏家族的宅院建筑群。
始建于乾嘉年间，后多次修缮，占地60万平方米，有房屋4000余间、楼房50余座、小园林13处，建筑占原车辋村的一半。1947年，因战争被毁多处，后得到修复。
开放的常家庄园，只是原常家庄园遗存的半条街，共计12余万平方米，不及原面积的1/4。其中宅院4公顷、园林8公顷、附属房屋3公顷，庄墙12公里，形成一山、一阁、两轩、四园、五院、六水、九堂、八贴、十三亭、二十五廊、二十七宅院&quot;的格局。
常家庄园占地12余万平方米，是规模最大的晋商大院，也是中国最大的庄园式建筑群。布局严谨，整齐有序，功能性很强。由堡门、堡墙、街道、宅院建筑群、园林、商铺以及街心牌楼、堡池、池桥等组成。街道北侧是庄园的宅院建筑区，临街一字排开。宅院区之北是园林区，包括静园及遐园、狮园两个园中园。街道南侧沿街开有各种商铺，是族人生活消费的供应设施，也是庄园的南封闭线。常家庄园以&quot;后街&quot;为纽带，各个宅院彼此紧靠，&quot;临街门户依次开，堡门关闭如一堂&quot;。",有用 （5）
18,M27****470,male,0,0,2017/3/4,width:60%;,还好吧。常家的后花园很好。大，有水池，有个高楼用来观看全貌的，木头梯子；主要还是看看常家的教育后人的古训点点滴滴，的确是让人醒悟点什么呢。里面有的院落显得太脏了，是不是打扫下比较好啊！,有用 （5）
19,_M13****9832,female,0,0,2017/2/4,width:100%;,晋商的私人庄园，竟然如此巨大、精美，实在把我惊呆了。他们重视学而优则商，一边强调学习科考，一边强调经商，无论是在商业还是学业上都取得不裴的成绩。但是饮食配套比较差，除了特有的小饼，其他的着实不忍下咽。,有用 （5）
20,我会反光i,female,2,0,2017/1/9,width:100%;,晋商文化的代表，产业之大令人咋舌，庄园可以称得上是一座城，对外开放的仅仅是北半区，可以比得上故宫啦！乔家大院、王家大院，占地面积均无法与其相比。了解晋商历史，一定要来常家庄园。靠游中国南方运茶叶到俄罗斯发家，开创茶叶的丝绸之路。庄园内的建筑设计值得参观，砖雕尤其有特色！,有用 （5）
21,_CFT01****1089477,female,0,0,2016/12/22,width:100%;,花园很大，有千年的古树，登上楼能看到全部的景色，很美。建筑鳞次栉比，蔚为壮观，家谱很全。堡门很壮观，两侧有文章。拍过很多电视剧，儒商第一家名副其实。庄园规模很大，12万平方米，院子里有砖雕，彩绘，不同凡响。,有用 （5）
