,Unnamed: 0,name,gender,关注,粉丝,time,rating,text,useful
1,1,诚玥,male,49,73,2017/8/18,width:100%;,馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。,有用 （7）
2,2,M25****5767,female,2,1,2018/3/12,width:100%;,去西江千户苗寨必定要去看看这个博物馆，位于寨子中心区，无需门票。馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。参观后增强了对苗族文化的了解，有时间值得一看！,有用 （6）
6,6,南阳-方旭,male,0,0,2017/8/12,width:100%;,很好的景点，就是人太多了，导致住宿价格搞得离谱，建议不要七八月份来。餐饮的价格倒是管理的不错，味道也很好，尤其是长桌宴，推荐品尝,有用 （4）
10,10,Michiyo,female,0,0,2016/11/14,width:100%;,苗族的习俗有一部分和我们汉族人一样里面是免费参观。馆里分的清清楚楚每个房间的介绍。有长桌宴，结婚习俗等等。介绍的清楚让人很容易了解,有用 （4）
14,14,烈焰战车,male,0,0,2016/7/16,width:100%;,不错，建议都来玩下，这里的价格很地道，比国内其他景点好多了，特别是比临近的黄果树瀑布好多了，哪里就是个坑。,有用 （4）
17,17,天南地北,female,0,0,2017/5/24,width:100%;,苗寨的历史，苗寨的文化，苗寨的习俗。,有用 （3）
21,21,子龙糖糖,female,2,28,2017/11/5,width:100%;,西江苗族是黔东南苗族的重要组成部分之一，现主要居住的是苗族的“西”氏族。作为全世界最大的苗寨，西江千户苗寨拥有深厚的苗族文化底蕴，苗族建筑、服饰、银饰、语言、饮食、传统习俗不但典型，而且保存较好。,有用 （2）
23,23,_WeCh****313695,female,0,0,2017/10/4,width:100%;,这个博物馆还是值得一看的，全面了解苗族的历史人文，规模还是比较小的,有用 （2）
27,27,避风港66,male,13,19,2017/5/1,width:100%;,免费。。人多。介绍还是很详细。,有用 （2）
28,28,chen****min,female,0,0,2017/3/26,width:100%;,可以啊这个地方，挺有点特色，然后也很客气热情，不像那些评论说的那么可怕，我是以我几乎走遍中国的角度来负责的说这段话的,有用 （2）
