,name,gender,关注,粉丝,time,rating,text,useful
0,M57****995,male,0,0,2017/11/1,width:80%;,西江千户苗寨的住所建筑有很大的少数民族风貌 依山而建 （新建的）可以租套苗衣 （头饰 挂的饰品都是铝片）不限时 十元  拍拍照 小吃一条街  就能吃饱 饭店大家都懂的  景点吗能理解 开店的没有几个当地人  观景台俯瞰苗寨的房子从下往上整个山坡 都盖了木结构灰色瓦屋顶的苗房 好看  傍晚亮灯后 手机拍的照片 朋友说咋每家都点个火把啊 实地好看  到贵州省旅游不要到贵阳中转 废钱废时 没有好看地儿 你可以座火车直接到安顺下  到汽车站买票座巴士到 黄果树瀑布景区游玩赏美景 天星桥景点很好  之后座火车到马尾站下车 汽车站买票座巴士到荔波游玩小七孔景点 之后有到西江千户苗寨的巴士 先拉到荔波汽车站在换车到西江千户苗寨 大洋富裕的 再去玩镇远古镇 总之 安顺 荔波 镇远 都比贵阳好百倍 自驾游的注意 上下坡山路多 景点山水很好看,有用 （8）
1,诚玥,male,49,73,2017/8/18,width:100%;,馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。,有用 （7）
2,M25****5767,female,2,1,2018/3/12,width:100%;,去西江千户苗寨必定要去看看这个博物馆，位于寨子中心区，无需门票。馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。参观后增强了对苗族文化的了解，有时间值得一看！,有用 （6）
3,马特莱杜预,female,5,12,2016/9/15,width:80%;,含在西江苗寨的门票里向游客展示了苗族的主要生活形态祭祀节日苗寨的建筑风格苗药的各种药材苗族的服饰等等对于了解少数民族的文化和风俗还是挺有帮助的,有用 （6）
4,ra****fm,male,0,22,2016/7/19,width:80%;,苗寨要住一晚上才会看到夜景，如果仅仅白天意思不是太大。还是建议大家旅游不能赶，要慢慢体验。酸菜鱼可以尝尝，我们吃的是西月火塘的酸菜鱼。,有用 （6）
5,286****745,female,0,0,2017/9/17,width:60%;,比黔东南民族博物馆再降一个档次 图文展示内容态度太多 但是去苗寨还是去这里了解一下历史文化比较好 虽然很多东西可能百度都能知道 斜对面就是芦笙场也就是表演广场 博物馆开放时间是9：00-17：30 并不是携程简介写的全天开放,有用 （4）
6,南阳-方旭,male,0,0,2017/8/12,width:100%;,很好的景点，就是人太多了，导致住宿价格搞得离谱，建议不要七八月份来。餐饮的价格倒是管理的不错，味道也很好，尤其是长桌宴，推荐品尝,有用 （4）
7,q5****wq0,female,5,15,2017/6/30,width:80%;,是大门票里包括的，拿身份证或者门票进入，是个典型的苗寨宅子，里面有宗教丧葬农耕历史等等主题的展厅，应该请讲解，不然单看简短的展品介绍看不出什么鸟来,有用 （4）
8,漢江鴨鴨,female,0,48,2017/5/19,width:60%;,西江苗族博物館，位於西江千戶苗寨景區內，博物館建築的外觀，恰似苗族吊腳樓。博物館內設有歷史、生產、生活、節日、歌舞、建築技藝、服飾銀飾、苗醫苗藥、巫文化宗教信仰等等展廳，文物眾多，圖文並茂，系統並生動地展示了西江苗族千百年來的歷史積澱和文明進程，對於了解西江苗族和苗寨，助益良多。,有用 （4）
9,铁木儿爸爸,male,4,1142,2017/4/20,width:60%;,每天九点开门。原说凭西江门票或身份证进。真进去后工作人员也不查。内容丰富。其历史、装饰、服装方面看得较认真，把这二天中不清楚的也搞明白了。信息量大。很值得。,有用 （4）
10,Michiyo,female,0,0,2016/11/14,width:100%;,苗族的习俗有一部分和我们汉族人一样里面是免费参观。馆里分的清清楚楚每个房间的介绍。有长桌宴，结婚习俗等等。介绍的清楚让人很容易了解,有用 （4）
11,186****6037,male,0,0,2016/11/5,width:80%;,介绍得不错，知道了西江苗族特别的风俗与人情！关键就是地方太小，介绍的东西太少，不够详细！推荐看看，关于苗历的相关东西，收获不少！,有用 （4）
12,gz当地向导伊妹儿,female,206,1643,2016/10/12,width:80%;,西江千户苗寨博物馆非常不错，了解了很多知识，也长见识了，认识很多苗寨的有关知识，趣味性非常强，有吸引力，性价比超高的，值得一看。,有用 （4）
13,Priya,female,2,148,2016/9/18,width:80%;,通过位于西江千户苗寨主干道上的一个苗族博物馆，对苗族饮食宗教习俗医术等各生活领域，有了一个深入的了解。对苗族的文化和历史演变也有了一定的概念。,有用 （4）
14,烈焰战车,male,0,0,2016/7/16,width:100%;,不错，建议都来玩下，这里的价格很地道，比国内其他景点好多了，特别是比临近的黄果树瀑布好多了，哪里就是个坑。,有用 （4）
15,136****7825,female,0,0,2014/8/11,width:20%;,商业化太浓，遭遇无良商家，西江阿仰银楼客栈，为了赚高价不惜临时毁约，损害游客利益。,有用 （4）
16,翱翔的大鲨鱼,male,18,63,2017/12/15,width:80%;,来到这里还是看一下这个博物馆为好。可以了解苗家的来龙去脉，风土民情。里面有很多苗家的老物件，非常有趣。蜡像也做的栩栩如生。,有用 （3）
17,天南地北,female,0,0,2017/5/24,width:100%;,苗寨的历史，苗寨的文化，苗寨的习俗。,有用 （3）
18,陈力衔,male,0,0,2016/8/22,width:60%;,博物馆，让我们见识到了游牧民族的强大,有用 （3）
19,吴满燕,female,2,7,2014/11/28,width:80%;,一路走一路看风景，来到苗寨大舞台，刚好是下午4点50分，发现这里游人出奇多，各路导游都在此聚集了，看来来得早不如来得巧，遇上下午民族风情表演了。了解一下，是上午11点和下午5点各有一场。表演内容就是短裙舞、吹芦笙、祝酒歌之类的，看一下还是可以的，有点民族特色，但也不是很特别，不过大家可以留意一下，苗王也表演节目哟，是个中年人，能用树叶模仿各种声音。据说还在寨里担任老师。,有用 （3）
20,Maan,male,2,3,2018/2/1,width:80%;,西江千户苗寨里的西江苗族博物馆是一个小型的博物馆，里面主要介绍了当地的风土人情、民俗文化等等，是免费进入的，博物馆不大，慢慢了解慢慢欣赏半个小时就足够了。,有用 （2）
21,子龙糖糖,female,2,28,2017/11/5,width:100%;,西江苗族是黔东南苗族的重要组成部分之一，现主要居住的是苗族的“西”氏族。作为全世界最大的苗寨，西江千户苗寨拥有深厚的苗族文化底蕴，苗族建筑、服饰、银饰、语言、饮食、传统习俗不但典型，而且保存较好。,有用 （2）
22,M23****969,male,1,0,2017/10/18,width:80%;,可以去了解一下西江苗族的历史，,有用 （2）
23,_WeCh****313695,female,0,0,2017/10/4,width:100%;,这个博物馆还是值得一看的，全面了解苗族的历史人文，规模还是比较小的,有用 （2）
24,此心无障,male,26,232,2017/8/8,width:80%;,博物馆真心不错，详细介绍了苗家的风土人情和这里西江苗寨的发展历程，吃的住的用的都展示的很逼真，就是八月人实在太多，人挤人的感觉真心不舒服。,有用 （2）
25,欢乐琳,male,2,1,2017/6/27,width:80%;,免费的博物馆，可以了解苗寨，博物馆分上下两层，值得进去学习一下,有用 （2）
26,DKCAI,female,2,3,2017/6/24,width:80%;,值得一去，作为苗寨之游的第一站更合适，可以快速了解千户苗寨的历史、习俗、文化等等，了解以后再出去转转就可以更好的融入整个氛围中。,有用 （2）
27,避风港66,male,13,19,2017/5/1,width:100%;,免费。。人多。介绍还是很详细。,有用 （2）
28,chen****min,female,0,0,2017/3/26,width:100%;,可以啊这个地方，挺有点特色，然后也很客气热情，不像那些评论说的那么可怕，我是以我几乎走遍中国的角度来负责的说这段话的,有用 （2）
29,xw99,male,30,221,2017/3/11,width:100%;,博物馆是苗族吊脚楼建筑形式，全木结构，上下两层不同展室分别介绍苗族历史文化，生活习俗，服装服饰，苗医妙药，语言文字，有专人解说,有用 （2）
30,M43****189,male,0,2,2017/2/4,width:80%;,虽然博物馆不算很大，全部展示苗寨的发展。.,有用 （2）
31,M42****824,female,9,2,2017/1/19,width:80%;,博物馆不大，展示的都是苗寨的历史。.,有用 （2）
32,139****0768,male,120,9,2016/12/30,width:100%;,很好的一个博物馆，对了解苗族的风土人情有很大的帮助。,有用 （2）
33,酉余,male,0,4,2016/12/16,width:80%;,博物馆很好展示了，苗寨的过去，以及他们的生活用品。,有用 （2）
34,amyyuwen,female,2,972,2016/8/16,width:100%;,很多关于西江苗族特色的物品展出！,有用 （2）
35,宝宝爱出游,female,0,0,2016/8/11,width:80%;,一个欣赏苗寨风情和文化传统的地方，吊脚楼的展馆很?特色,有用 （2）
36,jianling6110,male,1,0,2016/8/7,width:100%;,介绍苗寨文化，多个展厅内容还挺丰富，凭景区大门票免费参观,有用 （2）
37,吉林太浩,male,1,0,2016/7/18,width:100%;,没有时间看夜景很遗憾，去得时候也正赶上装修舞台，没有看见演出。不过是很好的地方。,有用 （2）
38,d****80,male,0,0,2016/6/12,width:80%;,来这里可以了解苗族生活.文化，应该去一下。晚上还看了最美西江的表演，就能在了解的基础上看懂苗族歌舞中的内涵,有用 （2）
39,M38****021,male,0,0,2016/5/27,width:100%;,博物馆还好，可以了解一下当地的一些习俗,有用 （2）
40,东方虚空,male,14,40,2016/2/19,width:60%;,位置挺好找的，就在老的芦笙场对面，凭门票或身份证可以参观，不过没什么东西可以看的！,有用 （2）
41,哎呀兔子,female,0,0,2016/1/9,width:100%;,讲苗族的吃穿住行还有名族风俗，挺不错的，可以慢慢的仔细的看看,有用 （2）
42,W尛姐,female,1,29,2015/12/23,width:60%;,这个西江苗族博物馆就在西江千户苗寨景区内，进去里面参观是要门票的，凭门票一人只能进去一次，人多的话检票的时候要排一下对，不过很快就可以进去了，虽然叫做博物馆，不过里面也不算大，就跟其他旅游景区的民俗文化展示厅一样，里面有两层楼，每层楼都有几个房间，每个房间都有对苗族的服饰、建筑、文化、草药、生活习俗等进行相应的介绍，内容也挺详细的，有实物展示也有一些模型供人参观，也算是个小型博物馆吧，进去逛一圈很快就出来了，里面人也比较挤，进去一次也不会想再进多一次了。,有用 （2）
43,Mrs靖王妃,female,0,0,2015/12/17,width:100%;,来过便不曾离开，致最美、最淳朴的梦幻仙境——西江千户苗寨,有用 （2）
44,铃子铃子,female,7,133,2015/11/3,width:80%;,这个不错，介绍了很多苗族的历史和文化，对游客了解苗族，了解苗寨有不少帮助。,有用 （2）
45,元丰九年,male,2,47,2015/9/24,width:80%;,苗寨门票已含，不另收费，但门口有检票，只能进去一次。,有用 （2）
46,竹子呀呀,female,5,1,2014/12/12,width:100%;,小小的一个博物馆，展出了苗族人的历史和生活，抽个半小时了解一下很好。,有用 （2）
47,137****1935,female,0,0,2014/10/2,width:100%;,已博物馆展览为主，商业化气息很重。请了个导游讲解，才知道博物馆属于后建的展厅。,有用 （2）
48,篮球顽童,male,2,1,2014/9/20,width:80%;,展览馆藏品多，有文化底蕴，帮你了解苗寨历史，很值得一看。,有用 （2）
49,we****xu,female,7,145,2014/7/29,width:80%;,包括在门票里面，地方不大，展览了苗寨的人文风情。,有用 （2）
50,可爱的小昊子,male,8,17,2020/1/29,width:80%;,这座博物馆规模不大，位于苗寨主街上，免费对游客开放，这里有多个展厅，通过大量图文影像资料，为参观者详细介绍苗家的宗教信仰、历史文化、艺术人文的形成、发展历程，以及苗寨未来的发展规划。,有用 （1）
51,爱兔昕,female,2,0,2019/5/19,width:100%;,很好！从各个方面详细介绍了雷山县苗族的饮食、婚嫁、节日等各方面的情况，主要介绍的是西江千户苗寨。让大家对雷山县苗族有个深刻的了解。下午五点半关门，五点二十就不准入场了,有用 （1）
52,雨神Hades,male,14,13157,2018/12/14,width:0%;,"  广场边就是西江苗族博物馆。博物馆基本属于免票的状态，进门拿着千户苗寨景区门票进入就可以了，没带门票跟检票的苗家妹子说下也会让你进来的。
  博物馆一共两层，都是木制的建筑，面积不是很大。主要展示的就是苗族的服饰、饮食、农耕、苗药和生活情景。
 博物馆里有屏幕播放苗族纪录片，其中有段是讲苗族信仰和苗族银饰手艺的传承。苗族认为，除天地外，枫树是祖先之祖，枫树也当然地在银饰上有所表现。蝴蝶的纹样造型在银围帕、发簪、银梳、耳环、衣帽饰、项圈、压领、银衣片、背带、腰链、吊饰、手镯、戒指、烟盒、围腰银牌等几乎所有的银饰上都能看到，因为蝴蝶妈妈是传说中苗族的母亲。",有用 （1）
53,_WeCh****232834,male,2,0,2018/7/26,width:20%;,西江千户苗寨真是让人极端失望的景点。人在这里连最基本的安全体验都非常差，演出场旁边就是路边就是一个篮球场，老人从旁边走。头后面被篮球砸到，摔倒在地，打球的人问都不问，该打球的还是打球。其中一个人还说你怎么证明是被我们球打的。篮球场旁边就是一个派出所，我们去了以后理都不理我们。篮球场有一个监控摄像头，我们要求看监控，结果说没有摄像头，我们说那不是吗，有说那个拍不到。我们又去找了景区咨询中心人员。还是比较好的，帮我们拿了一个座位和一杯水。打电话叫了村委。过了好一会才有所谓的负责人过来，话里话外都是说我们自找的，说你赶紧去其他地方了，不要站在这边万一又被砸了。还告诉我们说道歉是不可能的。说可以去医院检查，去了一个特别简单的诊所，就随便看了看说没事。我们要求对方道歉，这是最起码的吧，不小心撞住人了还要说声对不起。结果负责人就说不行。我们咨询了相关部门，说我们应该找派出所，结果我们回过头又问派出所的人，竟然说你把你的身份证名字写下来，随便找了一张纸，我写了以后。就说那就行了，后面怎么处理是我们的事。我说最起码你应该让打球的那几个人来和我们道歉。打球的几个人，我们拍下来了照片。有两个穿着橙色的球服，上面写了连城群众体育协会。其他还有几个人，我们被砸了以后，他们还继续笑嘻嘻的打球的。就在球场那边，警察就看着他们。让我们觉得太心寒了。我们急着赶飞机，老人说头还好，就走了。对景区的管理，和球场旁边派出所极端失望。就在我们去吃饭的时候，一个小朋友被车撞了。提醒后面去的朋友，千万要注意安全。想到就觉得心寒，最起码的道德都没有了。,有用 （1）
54,105****839,female,0,0,2018/3/17,width:100%;,好好好好好好！喜欢喜欢！真的推荐,有用 （1）
55,玩嗨了,male,168,219,2017/9/25,width:100%;,一定要去，只是要注意下午四点闭馆，掌握好时间。图文并茂，投影视频全面解释苗寨的风土人情，对旅游者帮助很大，三十分钟即可，免费参观。,有用 （1）
56,威伦加康里脱脱,male,0,0,2017/8/23,width:80%;,免费的那性价比当然是无极限！！！！！！！！！！！但是那里面真的好热啊！！比室外都热啊啊啊啊！！！可能是人太多而且不通风啊啊啊啊啊！n,有用 （1）
57,贤慈,male,0,0,2017/8/9,width:60%;,一般，不了解苗族的可以去看看。,有用 （1）
58,amy旅者在路上,female,15,1425,2015/9/6,width:100%;,在西江苗寨的最后一天去了西江苗族的博物馆，博物馆是位于西江苗寨大门的位置，从大门过来只有200多米，由于清晨去的时候还早，所以博物馆还没有开门，于是在博物馆门口的广场那里看到西江苗族的阿妈在那里制作手动糍粑，于是体验了一把，很是欢乐。,有用 （1）
59,_CFT01****5994847,female,0,9,2014/12/24,width:80%;,里面的东西非常有趣，反正就是拿着你的小单反可以好好的拍拍照什么的，还不错啊,有用 （1）
60,-宝宝-,female,40,1071,2013/11/24,width:80%;,贵州是少数民族非常多的省份，所以参观这个博物馆，了解一下少数民族的历史很必要。,有用 （1）
61,M27****3815,female,11,22,2020/4/25,width:100%;,只要是当地的农耕文化交流，还有就是穿着服饰演绎！,有用 （0）
62,pingping321,female,10,74,2020/4/13,width:80%;,"苗寨内的民族特色博物馆。在苗寨的中心地带，不需要额外购买门票，建议去看一看。
博物馆有点狭窄，分了几个小厅。主要展示是苗族的特色文化，服饰、民俗、建筑、食物等等都有。
长知识了，在苗寨玩的时候能更好地理解吧，玩的明明白白的。",有用 （0）
63,乐乐嘻嘻哈哈,female,0,14,2020/2/2,width:80%;,位于西江千户苗寨景区内，由具有典型苗族建筑风格的六栋单体两楼建筑群组合而成，最有特色的当然是吊脚楼。展示的很多民俗也是很有意思的。,有用 （0）
64,聚英昌教练,male,2,1,2019/12/10,width:40%;,去过一次，和宣传的相去甚远，商业味道过浓，找不民族文化的味道。相比其它原生苗寨，恐怕此身只愿去一次。,有用 （0）
65,_WeCh****719288,male,0,0,2019/11/5,width:100%;,保存很好，不收费，公道的很…… 人性化开放,有用 （0）
66,天涯乐逍遥,male,21,312,2019/10/30,width:80%;,西江苗族博物馆位于西江千户苗寨景内，由具有典型苗族建筑风格的六栋单体两楼建筑群组合而成，馆内共设有历史厅、生产厅、节日厅、歌舞厅、建筑技艺厅、服饰银饰厅等展厅。,有用 （0）
67,天涯游玩人,male,12,60,2019/9/25,width:100%;,可以进去看一看，了解当地民俗民风！,有用 （0）
68,152****1555,female,1,2,2019/9/13,width:100%;,千户苗寨的必去博物馆 了解苗寨文化 太美 在表演场对面 很好找的 免门票 厕所有。推荐一下 去了两次设计也好的  哈哈哈哈,有用 （0）
69,h-123,male,2,36,2019/9/2,width:80%;,西江千户苗寨，很有特色，吃吃逛逛，悠闲自在。,有用 （0）
70,哆啦yoyo,female,2,15,2019/8/31,width:80%;,"还是挺值得去的，
【景色】可以了解到苗族苗寨宝贵的文化遗产，了解当地人民的风土人情，饮食习惯和食物特色
【趣味】
【性价比】",有用 （0）
71,xiaohei5678,female,69,1984,2019/8/29,width:100%;,真是名不虚传的旅游胜地，充满少数民族异域风土人情，让游人迫不及待地想沉浸其中，而且想换上民族服装，吃上当地食物，体验当地生活。,有用 （0）
72,大青虫H,female,29,50,2019/8/25,width:100%;,苗寨吊角楼是住宅，木质结构，建于半山腰，冬暖夏凉，空气畅通，有特色，且有科学性。梯田是他们的辛勤所建，一层层碧绿田地是粮食产出基地。改革开放后，也下山卖出农付产品。这里水清山美，空气新鲜。,有用 （0）
73,周游世界I,female,9,106,2019/8/24,width:100%;,西江苗族博物馆位于西江千户苗寨景区内，门票也已经包含在大景区门票里面，里面由具有典型苗族建筑风格的单体两楼建筑群组合而成，一楼为砖混结构，二楼为木质结构，外观为苗族独特的吊脚楼。,有用 （0）
74,旅游是很开心滴,male,43,2,2019/8/23,width:80%;,介绍了有关苗族的风土人情文化历史，有个宣传视频应该看看。,有用 （0）
75,m93****09,female,0,0,2019/8/18,width:60%;,在西江千户苗寨的中心地区，面积不大，不在单独收费。我们去的那天人太多了，人挨人人挤人，进去就出来了。,有用 （0）
76,与你携手游山水,female,0,1,2019/7/11,width:100%;,了解苗寨的前世今生，苗寨的吊脚楼建筑、银饰的来源、节日庆典、苗族歌舞、婚礼习俗的好地方。“游方”就是“找对象”，哈哈！带有效证件免费参观。,有用 （0）
77,携程旅行顾问小丫丫,female,1,30,2019/2/27,width:80%;,苗族博物馆位于千户苗寨的中心位置，分上下两层，内容十分的丰富。好像是每天九点开门，细细游览的话大约需要45分钟到一个小时。在这里可以了解到苗族的风土人情，人文历史，服装饮食等方方面面，还是值得花时间的！,有用 （0）
78,浪总走过系列,male,1,49,2019/2/19,width:100%;,很好，很普及知识，有必要去看看了解,有用 （0）
79,浪总走过系列,male,1,49,2019/2/15,width:100%;,免费的，值得去，可以了解苗族很好的,有用 （0）
80,黑珍珠霏儿,female,5,757,2018/12/28,width:0%;,"民俗博物馆，位于千户苗寨的半山腰，附近还有农民画展览， 博物馆不收门票，也没有讲解员。

大概有三四间屋子的大小，主要展出的是刺绣品，以鞋子，服饰，布片为主，旁边配有文字讲解。

看到小脚的绣花鞋，也是十分惊叹，第一次见这么小的鞋子，三寸金莲，竟是这样的，觉得之前的女人真的不容易。",有用 （0）
