,Unnamed: 0,name,gender,关注,粉丝,time,rating,text,useful,,,,,,,,,
0,0,M57****995,male,0,0,2017/11/1,width:80%;,西江千户苗寨的住所建筑有很大的少数民族风貌 依山而建 （新建的）可以租套苗衣 （头饰 挂的饰品都是铝片）不限时 十元  拍拍照 小吃一条街  就能吃饱 饭店大家都懂的  景点吗能理解 开店的没有几个当地人  观景台俯瞰苗寨的房子从下往上整个山坡 都盖了木结构灰色瓦屋顶的苗房 好看  傍晚亮灯后 手机拍的照片 朋友说咋每家都点个火把啊 实地好看  到贵州省旅游不要到贵阳中转 废钱废时 没有好看地儿 你可以座火车直接到安顺下  到汽车站买票座巴士到 黄果树瀑布景区游玩赏美景 天星桥景点很好  之后座火车到马尾站下车 汽车站买票座巴士到荔波游玩小七孔景点 之后有到西江千户苗寨的巴士 先拉到荔波汽车站在换车到西江千户苗寨 大洋富裕的 再去玩镇远古镇 总之 安顺 荔波 镇远 都比贵阳好百倍 自驾游的注意 上下坡山路多 景点山水很好看,有用 （8）,,,,,,,,,
6,6,南阳-方旭,male,0,0,2017/8/12,width:100%;,很好的景点，就是人太多了，导致住宿价格搞得离谱，建议不要七八月份来。餐饮的价格倒是管理的不错，味道也很好，尤其是长桌宴，推荐品尝,有用 （4）,,,,,,,,,
9,9,铁木儿爸爸,male,4,1142,2017/4/20,width:60%;,每天九点开门。原说凭西江门票或身份证进。真进去后工作人员也不查。内容丰富。其历史、装饰、服装方面看得较认真，把这二天中不清楚的也搞明白了。信息量大。很值得。,有用 （4）,,,,,,,,,
14,14,烈焰战车,male,0,0,2016/7/16,width:100%;,不错，建议都来玩下，这里的价格很地道，比国内其他景点好多了，特别是比临近的黄果树瀑布好多了，哪里就是个坑。,有用 （4）,,,,,,,,,
36,36,jianling6110,male,1,0,2016/8/7,width:100%;,介绍苗寨文化，多个展厅内容还挺丰富，凭景区大门票免费参观,有用 （2）,,,,,,,,,
40,40,东方虚空,male,14,40,2016/2/19,width:60%;,位置挺好找的，就在老的芦笙场对面，凭门票或身份证可以参观，不过没什么东西可以看的！,有用 （2）,,,,,,,,,
45,45,元丰九年,male,2,47,2015/9/24,width:80%;,苗寨门票已含，不另收费，但门口有检票，只能进去一次。,有用 （2）,,,,,,,,,
52,52,雨神Hades,male,14,13157,2018/12/14,width:0%;,"  广场边就是西江苗族博物馆。博物馆基本属于免票的状态，进门拿着千户苗寨景区门票进入就可以了，没带门票跟检票的苗家妹子说下也会让你进来的。
  博物馆一共两层，都是木制的建筑，面积不是很大。主要展示的就是苗族的服饰、饮食、农耕、苗药和生活情景。
 博物馆里有屏幕播放苗族纪录片，其中有段是讲苗族信仰和苗族银饰手艺的传承。苗族认为，除天地外，枫树是祖先之祖，枫树也当然地在银饰上有所表现。蝴蝶的纹样造型在银围帕、发簪、银梳、耳环、衣帽饰、项圈、压领、银衣片、背带、腰链、吊饰、手镯、戒指、烟盒、围腰银牌等几乎所有的银饰上都能看到，因为蝴蝶妈妈是传说中苗族的母亲。",有用 （1）,,,,,,,,,
56,56,威伦加康里脱脱,male,0,0,2017/8/23,width:80%;,免费的那性价比当然是无极限！！！！！！！！！！！但是那里面真的好热啊！！比室外都热啊啊啊啊！！！可能是人太多而且不通风啊啊啊啊啊！n,有用 （1）,,,,,,,,,
81,81,无疆行,male,9,922,2018/12/17,width:100%;,游玩西江千户苗寨景区，必去的景点之一就是西江苗族博物馆。博物馆无需门票，面积不大，两层楼高，每一层几间房，房间有各种苗族的习俗介绍，对我们了解苗族文化帮助很大，慢慢玩，半个小时足够了。,有用 （0）,,,,,,,,,
